study,run_name,epochs_logged,best_dist,best_epoch,final_dist,wall_to_best_min,wall_total_min,final_train_loss,final_pred_diversity,final_softmax_entropy,final_grad_diversity
data_scale.pkl,PM3 n=70k,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
slot_embeddings.pkl,Chamfer (standard),65,1.089279015858968,34,1.0931545495986938,nan,nan,1.201481867010576,2.081747850210928,0.29446727859962424,0.6796843365026335
slot_embeddings.pkl,Chamfer (slotted),32,1.7809972763061523,1,1.8431493441263835,nan,nan,1.7601405182023988,0.8487987380901663,0.3401234832963162,0.7638625616842843
slot_embeddings.pkl,PM3 (standard),200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
slot_embeddings.pkl,PM3 (slotted),200,0.6093709965546926,190,0.6164429187774658,nan,nan,0.6777208090698632,2.3129640277136456,0.06517822847644199,0.5730391068807609
lr_schedule.pkl,none,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
lr_schedule.pkl,cosine,200,0.6272683342297872,183,0.6292765835920969,nan,nan,0.650124103048422,2.366758927103894,0.06663527144124674,0.701231690748815
lr_schedule.pkl,warmup_cosine,200,0.5494787991046906,187,0.5499179859956106,nan,nan,0.537611718595463,2.377678964361125,0.05083008455296873,0.5579281706903259
lr_schedule.pkl,plateau,200,0.6231390535831451,197,0.6247627337773641,nan,nan,0.6662772019414136,2.3615095809356057,0.06450009144758359,0.6772700250045236
warmstart.pkl,warmup=0,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
warmstart.pkl,warmup=3,123,0.7711750566959381,92,0.7871412833531698,nan,nan,1.0502306022783265,2.260060308903992,0.08303241451641413,0.7013412069405793
warmstart.pkl,warmup=10,166,0.713494728008906,135,0.7624147633711497,nan,nan,0.9641562656764566,2.2643305477968445,0.08371820272617773,0.6374907654642262
warmstart.pkl,warmup=20,170,0.8815200130144755,139,0.9015294214089712,nan,nan,1.2089760721164897,2.153559396446993,0.1055308842243397,0.8757224764119456
softdcd.pkl,Chamfer,65,1.089279015858968,34,1.0931545495986938,nan,nan,1.201481867010576,2.081747850210928,0.29446727859962424,0.6796843365026335
softdcd.pkl,PM3 τ=0.12,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
softdcd.pkl,SoftDCD,59,1.2585347096125286,28,1.275942583878835,nan,nan,1.5359567630029942,1.8123938607888042,0.16540108129508532,0.6745038841608598
softdcd.pkl,CombinedSM,165,0.9687698086102804,134,1.0227070252100627,nan,nan,1.4325442427266253,2.0775667868011323,0.16518501616149986,0.6803970060089363
model_scale.pkl,d_model=64,200,0.9434554974238077,184,0.9539554516474406,nan,nan,1.231551300870241,2.1776100604131705,0.09557449670051232,0.6914578784578458
model_scale.pkl,d_model=128,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
model_scale.pkl,d_model=256,184,0.7049044966697693,153,0.7141276895999908,nan,nan,0.7475034577133012,2.3071681917228766,0.0660521563895909,0.7207179648999883
model_scale.pkl,d_model=512,63,0.8805741568406423,32,0.9755116701126099,nan,nan,1.5475080839908906,2.1431214729881365,0.10774503608872434,0.8394916802121005
hungarian_baseline.pkl,Chamfer,65,1.089279015858968,34,1.0931545495986938,nan,nan,1.201481867010576,2.081747850210928,0.29446727859962424,0.6796843365026335
hungarian_baseline.pkl,Hungarian,99,0.7563754320144653,68,0.7735132575035095,nan,nan,0.7927084399835906,2.035985481776438,0.1354955842447305,0.6212516118056698
hungarian_baseline.pkl,PM3 τ=0.12,200,0.7010403176148733,176,0.7124492526054382,nan,nan,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
cost_comparison.pkl,Chamfer,65,1.089279015858968,34,1.0931545495986938,1.810272471110026,3.37036923567454,1.201481867010576,2.081747850210928,0.29446727859962424,0.6796843365026335
cost_comparison.pkl,PM3 τ=0.12,200,0.7010403176148733,176,0.7124492526054382,9.346018572648367,10.566876800855,0.8423488531669561,2.3360383001713534,0.07263550488801604,0.618601741340873
cost_comparison.pkl,Hungarian,99,0.7563754320144653,68,0.7735132575035095,25.612211871147156,36.87850638628006,0.7927084399835906,2.035985481776438,0.1354955842447305,0.6212516118056698
combined_recipe.pkl,Chamfer (slotted + warmup_cosine),31,1.5814738670984905,0,1.8322806159655254,0.05729769070943196,1.6746676405270895,1.6652964475381113,0.8453168604213385,0.39510080265674996,0.76038972808883
combined_recipe.pkl,Hungarian (slotted + warmup_cosine),200,0.43137461443742114,189,0.43313505748907727,70.82774101098379,74.5941688021024,0.4384798664246162,2.3220755806524362,0.08243001672430547,0.6434453613749201
combined_recipe.pkl,PM3 τ=0.15 (slotted + warmup_cosine),131,0.7039224207401276,100,0.7601813673973083,5.474942282835642,7.09575940767924,0.8516638148440062,2.2681027119033828,0.0883475592153695,0.66286493671368
pm3_best_recipe.pkl,PM3 τ=0.15 (slotted + warmup_cosine),131,0.7039224207401276,100,0.7601813673973083,5.464645953973134,7.094718194007873,0.8516638148440062,2.2681027119033828,0.0883475592153695,0.66286493671368
no_earlystop/pm3_best_recipe.pkl,PM3 τ=0.15 (slotted + warmup_cosine),200,0.6606815755367279,172,0.6815228660901388,9.35753581126531,10.783429459730785,0.7242965071740812,2.31274395041577,0.080456702897956,0.5773409866093068
pm3_grid/pm3_tau0.12_slots0_warmup0.pkl,PM3 tau=0.12 | slotted=False | warmup_cosine=False,166,0.7097812195618948,135,0.7452436486879984,7.287698602676391,8.884445110956827,0.8418170248504973,2.267685684112296,0.07652824413670888,0.677498565823627
pm3_grid/pm3_tau0.12_slots0_warmup1.pkl,PM3 tau=0.12 | slotted=False | warmup_cosine=True,200,0.5828081468741099,195,0.5840343634287516,10.515000172456105,10.728354839483897,0.5613247991478356,2.3750865783380117,0.05491720222144363,0.4647515046387596
pm3_grid/pm3_tau0.12_slots1_warmup0.pkl,PM3 tau=0.12 | slotted=True | warmup_cosine=False,200,0.6199395855267843,178,0.6473080515861511,9.597601624329885,10.717235024770101,0.648783420994334,2.3511745351768862,0.06444137973474649,0.6332414792625192
pm3_grid/pm3_tau0.12_slots1_warmup1.pkl,PM3 tau=0.12 | slotted=True | warmup_cosine=True,198,0.632510264714559,167,0.6355678041776022,9.18037442366282,10.805531787872315,0.6423128595317367,2.343517298599225,0.0653719503623801,0.5944108136807675
pm3_grid/pm3_tau0.15_slots0_warmup0.pkl,PM3 tau=0.15 | slotted=False | warmup_cosine=False,200,0.6090115110079447,196,0.6152729690074921,10.697003936767578,10.857239508628846,0.6393144130706787,2.353016891856113,0.06894085507973742,0.5888428941349493
pm3_grid/pm3_tau0.15_slots0_warmup1.pkl,PM3 tau=0.15 | slotted=False | warmup_cosine=True,200,0.8068957328796387,193,0.8072123130162557,10.485068158308666,10.802303024133046,0.8345370075128374,2.288598470389843,0.09173020776979983,0.4897822593474684
pm3_grid/pm3_tau0.15_slots1_warmup0.pkl,PM3 tau=0.15 | slotted=True | warmup_cosine=False,127,0.7954468925793966,96,0.8536104559898376,5.149739559491476,6.744355042775472,1.101259396023994,2.213523497860032,0.10295479865152739,0.7414535990994005
pm3_grid/pm3_tau0.15_slots1_warmup1.pkl,PM3 tau=0.15 | slotted=True | warmup_cosine=True,200,0.6352985203266144,186,0.6385375559329987,10.063848761717479,10.7492923895518,0.7369277986296772,2.323229204238195,0.08314725535929221,0.6310013339809322
