[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  59 | loss=1.1254 dist=0.9404 div=2.140 H=0.094 gd=0.660 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  60 | loss=1.1355 dist=0.9294 div=2.144 H=0.095 gd=0.603 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  61 | loss=1.1129 dist=0.9258 div=2.146 H=0.096 gd=0.662 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  62 | loss=1.1046 dist=0.9186 div=2.153 H=0.095 gd=0.669 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  63 | loss=1.1085 dist=0.9194 div=2.142 H=0.095 gd=0.645 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  64 | loss=1.0975 dist=0.9099 div=2.163 H=0.094 gd=0.634 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  65 | loss=1.0894 dist=0.9184 div=2.168 H=0.096 gd=0.651 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  66 | loss=1.0836 dist=0.9145 div=2.153 H=0.096 gd=0.699 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  67 | loss=1.0884 dist=0.9199 div=2.148 H=0.094 gd=0.653 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  68 | loss=1.1157 dist=0.9217 div=2.169 H=0.096 gd=0.691 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  69 | loss=1.0987 dist=0.9152 div=2.159 H=0.094 gd=0.659 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  70 | loss=1.0991 dist=0.9127 div=2.178 H=0.097 gd=0.699 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  71 | loss=1.0767 dist=0.8985 div=2.174 H=0.096 gd=0.657 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  72 | loss=1.0668 dist=0.8998 div=2.175 H=0.096 gd=0.651 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  73 | loss=1.0612 dist=0.8893 div=2.184 H=0.094 gd=0.631 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  74 | loss=1.0663 dist=0.9049 div=2.166 H=0.097 gd=0.690 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  75 | loss=1.0567 dist=0.8842 div=2.189 H=0.095 gd=0.752 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch  76 | loss=1.0587 dist=0.8913 div=2.185 H=0.092 gd=0.665 lr=8.49e-04
