[gpu3] Starting: tau0.12_slots1_warmup1
Run:        pm3_tau0.12_slots1_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  65 | loss=1.0320 dist=0.8032 div=2.236 H=0.087 gd=0.667 lr=6.60e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  66 | loss=1.0004 dist=0.8012 div=2.233 H=0.088 gd=0.622 lr=6.54e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  67 | loss=0.9883 dist=0.7959 div=2.253 H=0.086 gd=0.681 lr=6.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  68 | loss=1.0080 dist=0.8176 div=2.231 H=0.090 gd=0.723 lr=6.42e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  69 | loss=0.9969 dist=0.8573 div=2.233 H=0.095 gd=0.675 lr=6.36e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  70 | loss=0.9899 dist=0.7893 div=2.250 H=0.085 gd=0.678 lr=6.30e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  71 | loss=0.9601 dist=0.8239 div=2.228 H=0.086 gd=0.672 lr=6.24e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  72 | loss=0.9811 dist=0.8404 div=2.226 H=0.085 gd=0.711 lr=6.18e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  73 | loss=1.0003 dist=0.8190 div=2.246 H=0.084 gd=0.623 lr=6.12e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  74 | loss=0.9598 dist=0.8046 div=2.271 H=0.082 gd=0.634 lr=6.06e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  75 | loss=0.9000 dist=0.7582 div=2.259 H=0.078 gd=0.677 lr=6.00e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  76 | loss=0.9233 dist=0.7745 div=2.273 H=0.081 gd=0.649 lr=5.94e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  77 | loss=0.8778 dist=0.7794 div=2.263 H=0.079 gd=0.614 lr=5.87e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  78 | loss=0.9160 dist=0.7865 div=2.260 H=0.080 gd=0.670 lr=5.81e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  79 | loss=0.8908 dist=0.7724 div=2.270 H=0.079 gd=0.660 lr=5.75e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  80 | loss=0.8876 dist=0.7646 div=2.266 H=0.080 gd=0.615 lr=5.68e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  81 | loss=0.8996 dist=0.7584 div=2.263 H=0.079 gd=0.686 lr=5.62e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  82 | loss=0.8715 dist=0.7410 div=2.283 H=0.076 gd=0.622 lr=5.55e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  83 | loss=0.8359 dist=0.7397 div=2.290 H=0.077 gd=0.602 lr=5.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  84 | loss=0.8479 dist=0.7471 div=2.277 H=0.078 gd=0.667 lr=5.42e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  85 | loss=0.8540 dist=0.7377 div=2.271 H=0.076 gd=0.648 lr=5.36e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  86 | loss=0.8337 dist=0.7403 div=2.280 H=0.077 gd=0.641 lr=5.29e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  87 | loss=0.8302 dist=0.7559 div=2.284 H=0.077 gd=0.623 lr=5.22e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  88 | loss=0.8192 dist=0.7777 div=2.260 H=0.078 gd=0.663 lr=5.16e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  89 | loss=0.8318 dist=0.7340 div=2.283 H=0.076 gd=0.625 lr=5.09e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  90 | loss=0.8162 dist=0.7511 div=2.267 H=0.079 gd=0.615 lr=5.02e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  91 | loss=0.8554 dist=0.7535 div=2.279 H=0.076 gd=0.664 lr=4.96e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  92 | loss=0.8015 dist=0.7321 div=2.286 H=0.077 gd=0.624 lr=4.89e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  93 | loss=0.8035 dist=0.7251 div=2.288 H=0.075 gd=0.645 lr=4.82e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  94 | loss=0.8050 dist=0.7581 div=2.267 H=0.076 gd=0.637 lr=4.75e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  95 | loss=0.8314 dist=0.7333 div=2.303 H=0.074 gd=0.590 lr=4.69e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  96 | loss=0.7967 dist=0.7280 div=2.279 H=0.074 gd=0.605 lr=4.62e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  97 | loss=0.8436 dist=0.7542 div=2.267 H=0.076 gd=0.625 lr=4.55e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  98 | loss=0.8096 dist=0.7238 div=2.277 H=0.078 gd=0.611 lr=4.48e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch  99 | loss=0.8053 dist=0.7489 div=2.293 H=0.076 gd=0.629 lr=4.41e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 100 | loss=0.8203 dist=0.7377 div=2.275 H=0.075 gd=0.628 lr=4.35e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 101 | loss=0.8022 dist=0.7211 div=2.288 H=0.076 gd=0.644 lr=4.28e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 102 | loss=0.7738 dist=0.7567 div=2.299 H=0.074 gd=0.625 lr=4.21e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 103 | loss=0.7745 dist=0.7175 div=2.291 H=0.074 gd=0.623 lr=4.14e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 104 | loss=0.7710 dist=0.7109 div=2.304 H=0.073 gd=0.599 lr=4.07e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 105 | loss=0.7551 dist=0.7319 div=2.308 H=0.074 gd=0.669 lr=4.00e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 106 | loss=0.7625 dist=0.6941 div=2.307 H=0.073 gd=0.616 lr=3.94e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 107 | loss=0.7549 dist=0.6896 div=2.306 H=0.072 gd=0.657 lr=3.87e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 108 | loss=0.7628 dist=0.7140 div=2.303 H=0.072 gd=0.619 lr=3.80e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 109 | loss=0.7622 dist=0.7189 div=2.307 H=0.073 gd=0.617 lr=3.73e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 110 | loss=0.7511 dist=0.7190 div=2.297 H=0.073 gd=0.632 lr=3.66e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 111 | loss=0.7490 dist=0.7115 div=2.306 H=0.072 gd=0.605 lr=3.60e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 112 | loss=0.7583 dist=0.7145 div=2.295 H=0.073 gd=0.615 lr=3.53e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 113 | loss=0.7548 dist=0.7116 div=2.300 H=0.074 gd=0.600 lr=3.46e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 114 | loss=0.7640 dist=0.7267 div=2.319 H=0.072 gd=0.590 lr=3.39e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 115 | loss=0.7679 dist=0.7230 div=2.291 H=0.073 gd=0.573 lr=3.33e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 116 | loss=0.7635 dist=0.7212 div=2.313 H=0.072 gd=0.624 lr=3.26e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 117 | loss=0.7812 dist=0.7240 div=2.288 H=0.073 gd=0.593 lr=3.19e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 118 | loss=0.7299 dist=0.6940 div=2.317 H=0.071 gd=0.619 lr=3.13e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 119 | loss=0.7338 dist=0.7098 div=2.303 H=0.072 gd=0.588 lr=3.06e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 120 | loss=0.7510 dist=0.6873 div=2.312 H=0.070 gd=0.574 lr=3.00e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 121 | loss=0.7232 dist=0.6851 div=2.318 H=0.069 gd=0.591 lr=2.93e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 122 | loss=0.7211 dist=0.6714 div=2.320 H=0.069 gd=0.609 lr=2.87e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 123 | loss=0.7161 dist=0.6849 div=2.325 H=0.071 gd=0.627 lr=2.80e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 124 | loss=0.7317 dist=0.6879 div=2.307 H=0.072 gd=0.626 lr=2.74e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 125 | loss=0.7415 dist=0.6766 div=2.321 H=0.070 gd=0.601 lr=2.67e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 126 | loss=0.7200 dist=0.6835 div=2.311 H=0.070 gd=0.605 lr=2.61e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 127 | loss=0.7129 dist=0.6751 div=2.330 H=0.069 gd=0.580 lr=2.55e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 128 | loss=0.7091 dist=0.6694 div=2.319 H=0.069 gd=0.634 lr=2.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 129 | loss=0.7048 dist=0.6668 div=2.324 H=0.068 gd=0.592 lr=2.42e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 130 | loss=0.6981 dist=0.6673 div=2.323 H=0.069 gd=0.615 lr=2.36e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 131 | loss=0.6955 dist=0.6658 div=2.329 H=0.067 gd=0.564 lr=2.30e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 132 | loss=0.6990 dist=0.6606 div=2.324 H=0.069 gd=0.606 lr=2.24e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 133 | loss=0.7246 dist=0.6678 div=2.316 H=0.069 gd=0.601 lr=2.18e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 134 | loss=0.6980 dist=0.6630 div=2.334 H=0.068 gd=0.625 lr=2.12e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 135 | loss=0.6927 dist=0.6565 div=2.337 H=0.067 gd=0.586 lr=2.06e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 136 | loss=0.6891 dist=0.6571 div=2.340 H=0.068 gd=0.609 lr=2.00e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 137 | loss=0.6857 dist=0.6582 div=2.336 H=0.068 gd=0.568 lr=1.95e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 138 | loss=0.6862 dist=0.6673 div=2.323 H=0.068 gd=0.602 lr=1.89e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 139 | loss=0.6798 dist=0.6648 div=2.332 H=0.068 gd=0.588 lr=1.83e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 140 | loss=0.6812 dist=0.6608 div=2.329 H=0.067 gd=0.599 lr=1.78e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 141 | loss=0.6772 dist=0.6605 div=2.336 H=0.068 gd=0.589 lr=1.72e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 142 | loss=0.6706 dist=0.6679 div=2.333 H=0.068 gd=0.570 lr=1.67e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 143 | loss=0.6719 dist=0.6554 div=2.333 H=0.067 gd=0.585 lr=1.61e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 144 | loss=0.6689 dist=0.6574 div=2.333 H=0.067 gd=0.596 lr=1.56e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 145 | loss=0.6770 dist=0.6597 div=2.335 H=0.068 gd=0.567 lr=1.51e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 146 | loss=0.6720 dist=0.6581 div=2.336 H=0.067 gd=0.574 lr=1.45e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 147 | loss=0.6688 dist=0.6518 div=2.335 H=0.068 gd=0.574 lr=1.40e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 148 | loss=0.6662 dist=0.6483 div=2.339 H=0.067 gd=0.604 lr=1.35e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 149 | loss=0.6711 dist=0.6674 div=2.330 H=0.067 gd=0.618 lr=1.30e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 150 | loss=0.6903 dist=0.6665 div=2.329 H=0.067 gd=0.587 lr=1.25e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 151 | loss=0.6705 dist=0.6531 div=2.334 H=0.067 gd=0.618 lr=1.21e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 152 | loss=0.6702 dist=0.6491 div=2.336 H=0.066 gd=0.624 lr=1.16e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 153 | loss=0.6667 dist=0.6459 div=2.340 H=0.066 gd=0.626 lr=1.11e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 154 | loss=0.6654 dist=0.6448 div=2.339 H=0.066 gd=0.575 lr=1.07e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 155 | loss=0.6588 dist=0.6473 div=2.340 H=0.066 gd=0.605 lr=1.02e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=True] epoch 156 | loss=0.6555 dist=0.6490 div=2.334 H=0.066 gd=0.612 lr=9.78e-05
