[gpu2] Starting: tau0.12_slots0_warmup1
Run:        pm3_tau0.12_slots0_warmup1
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup1.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  78 | loss=0.7335 dist=0.6751 div=2.323 H=0.064 gd=0.614 lr=5.81e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  79 | loss=0.7119 dist=0.6698 div=2.336 H=0.064 gd=0.573 lr=5.75e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  80 | loss=0.7111 dist=0.7020 div=2.324 H=0.068 gd=0.600 lr=5.68e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  81 | loss=0.7412 dist=0.6804 div=2.342 H=0.066 gd=0.564 lr=5.62e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  82 | loss=0.7191 dist=0.6704 div=2.318 H=0.065 gd=0.624 lr=5.55e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  83 | loss=0.7132 dist=0.6898 div=2.319 H=0.067 gd=0.585 lr=5.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  84 | loss=0.7000 dist=0.6760 div=2.327 H=0.065 gd=0.547 lr=5.42e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  85 | loss=0.7041 dist=0.6702 div=2.334 H=0.064 gd=0.576 lr=5.36e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  86 | loss=0.7021 dist=0.6830 div=2.316 H=0.066 gd=0.563 lr=5.29e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  87 | loss=0.7044 dist=0.6758 div=2.335 H=0.064 gd=0.569 lr=5.22e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  88 | loss=0.6904 dist=0.6632 div=2.335 H=0.063 gd=0.595 lr=5.16e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  89 | loss=0.6873 dist=0.6639 div=2.334 H=0.063 gd=0.582 lr=5.09e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  90 | loss=0.6924 dist=0.6609 div=2.347 H=0.064 gd=0.536 lr=5.02e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  91 | loss=0.6896 dist=0.6722 div=2.318 H=0.064 gd=0.576 lr=4.96e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  92 | loss=0.6859 dist=0.6608 div=2.328 H=0.063 gd=0.551 lr=4.89e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  93 | loss=0.6929 dist=0.6607 div=2.333 H=0.063 gd=0.534 lr=4.82e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  94 | loss=0.6921 dist=0.6793 div=2.331 H=0.064 gd=0.570 lr=4.75e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  95 | loss=0.6929 dist=0.6613 div=2.328 H=0.062 gd=0.577 lr=4.69e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  96 | loss=0.7040 dist=0.6714 div=2.339 H=0.062 gd=0.584 lr=4.62e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  97 | loss=0.6953 dist=0.6619 div=2.330 H=0.061 gd=0.573 lr=4.55e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  98 | loss=0.6732 dist=0.6459 div=2.343 H=0.062 gd=0.571 lr=4.48e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch  99 | loss=0.6707 dist=0.6550 div=2.348 H=0.064 gd=0.588 lr=4.41e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 100 | loss=0.6834 dist=0.6553 div=2.337 H=0.063 gd=0.593 lr=4.35e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 101 | loss=0.6671 dist=0.6537 div=2.352 H=0.063 gd=0.592 lr=4.28e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 102 | loss=0.6737 dist=0.6706 div=2.352 H=0.063 gd=0.585 lr=4.21e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 103 | loss=0.6582 dist=0.6508 div=2.352 H=0.061 gd=0.618 lr=4.14e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 104 | loss=0.6605 dist=0.6529 div=2.324 H=0.062 gd=0.559 lr=4.07e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 105 | loss=0.6558 dist=0.6747 div=2.353 H=0.062 gd=0.563 lr=4.00e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 106 | loss=0.6538 dist=0.6386 div=2.358 H=0.062 gd=0.564 lr=3.94e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 107 | loss=0.6523 dist=0.6647 div=2.339 H=0.063 gd=0.534 lr=3.87e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 108 | loss=0.6620 dist=0.6661 div=2.337 H=0.062 gd=0.552 lr=3.80e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 109 | loss=0.6609 dist=0.6650 div=2.331 H=0.062 gd=0.591 lr=3.73e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 110 | loss=0.6640 dist=0.6461 div=2.344 H=0.061 gd=0.566 lr=3.66e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=True] epoch 111 | loss=0.6448 dist=0.6462 div=2.350 H=0.060 gd=0.521 lr=3.60e-04
